gelogd_utc,key,doel_datum,lead,soort,eenheid,bracket_label,bracket_lo,bracket_hi,verwachting,p10,p90,model_kans,leden_fractie,markt_prijs,edge_pp,volume_24u,event_slug,markt_slug,strat_a_signaal
2026-08-07T05:09+00:00,NYC,2026-08-07,0,max,°F,81°F or below,,81,92.59,88.73,97.93,0.0010,0.0000,0.0005,0.05,28028.15,highest-temperature-in-nyc-on-august-7-2026,highest-temperature-in-nyc-on-august-7-2026-81forbelow,0
2026-08-07T05:09+00:00,NYC,2026-08-07,0,max,°F,82-83°F,82,83,92.59,88.73,97.93,0.0047,0.0103,0.0005,0.42,28028.15,highest-temperature-in-nyc-on-august-7-2026,highest-temperature-in-nyc-on-august-7-2026-82-83f,0
2026-08-07T05:09+00:00,NYC,2026-08-07,0,max,°F,84-85°F,84,85,92.59,88.73,97.93,0.0185,0.0361,0.0110,0.75,28028.15,highest-temperature-in-nyc-on-august-7-2026,highest-temperature-in-nyc-on-august-7-2026-84-85f,0
2026-08-07T05:09+00:00,NYC,2026-08-07,0,max,°F,86-87°F,86,87,92.59,88.73,97.93,0.0541,0.2010,0.0450,0.91,28028.15,highest-temperature-in-nyc-on-august-7-2026,highest-temperature-in-nyc-on-august-7-2026-86-87f,0
2026-08-07T05:09+00:00,NYC,2026-08-07,0,max,°F,88-89°F,88,89,92.59,88.73,97.93,0.1167,0.2474,0.2050,-8.83,28028.15,highest-temperature-in-nyc-on-august-7-2026,highest-temperature-in-nyc-on-august-7-2026-88-89f,0
2026-08-07T05:09+00:00,NYC,2026-08-07,0,max,°F,90-91°F,90,91,92.59,88.73,97.93,0.1861,0.2835,0.3650,-17.89,28028.15,highest-temperature-in-nyc-on-august-7-2026,highest-temperature-in-nyc-on-august-7-2026-90-91f,0
2026-08-07T05:09+00:00,NYC,2026-08-07,0,max,°F,92-93°F,92,93,92.59,88.73,97.93,0.2194,0.1031,0.2950,-7.56,28028.15,highest-temperature-in-nyc-on-august-7-2026,highest-temperature-in-nyc-on-august-7-2026-92-93f,0
2026-08-07T05:09+00:00,NYC,2026-08-07,0,max,°F,94-95°F,94,95,92.59,88.73,97.93,0.1911,0.0876,0.0900,10.11,28028.15,highest-temperature-in-nyc-on-august-7-2026,highest-temperature-in-nyc-on-august-7-2026-94-95f,0
2026-08-07T05:09+00:00,NYC,2026-08-07,0,max,°F,96-97°F,96,97,92.59,88.73,97.93,0.1230,0.0825,0.0210,10.20,28028.15,highest-temperature-in-nyc-on-august-7-2026,highest-temperature-in-nyc-on-august-7-2026-96-97f,0
2026-08-07T05:09+00:00,NYC,2026-08-07,0,max,°F,98-99°F,98,99,92.59,88.73,97.93,0.0585,0.0103,0.0005,5.80,28028.15,highest-temperature-in-nyc-on-august-7-2026,highest-temperature-in-nyc-on-august-7-2026-98-99f,0
