gelogd_utc,key,station,doel_datum,lead,tx_c,tx_uur_utc,tn_c,tn_uur_utc,geldig_van,geldig_tot,piekgroep,ruw
2026-08-12T10:00+00:00,CTU,ZUUU,2026-08-12,0,36.0,07,,,2026-08-12T06:00:00+00:00,2026-08-13T06:00:00+00:00,,TAF ZUUU 120301Z 1206/1306 22003MPS 6000 SCT050 TX36/1207Z TN25/1222Z
2026-08-12T10:00+00:00,CTU,ZUUU,2026-08-13,1,,,25.0,22,2026-08-12T06:00:00+00:00,2026-08-13T06:00:00+00:00,,TAF ZUUU 120301Z 1206/1306 22003MPS 6000 SCT050 TX36/1207Z TN25/1222Z
2026-08-12T10:00+00:00,CPT,FACT,2026-08-12,0,22.0,12,,,2026-08-12T06:00:00+00:00,2026-08-13T12:00:00+00:00,BECMG 1211/1213 18010KT,TAF FACT 120400Z 1206/1312 VRB03KT CAVOK TX22/1212Z TN09/1305Z BECMG 1211/1213 18010KT FM130000 VRB03KT CAVOK BECMG 1308/1310 36010KT
2026-08-12T10:00+00:00,CPT,FACT,2026-08-13,1,,,9.0,05,2026-08-12T06:00:00+00:00,2026-08-13T12:00:00+00:00,FM130000 VRB03KT CAVOK,TAF FACT 120400Z 1206/1312 VRB03KT CAVOK TX22/1212Z TN09/1305Z BECMG 1211/1213 18010KT FM130000 VRB03KT CAVOK BECMG 1308/1310 36010KT
2026-08-12T14:19+00:00,MAD,LEMD,2026-08-12,0,40.0,16,,,2026-08-12T12:00:00+00:00,2026-08-13T18:00:00+00:00,TEMPO 1212/1218 19010KT,TAF LEMD 121100Z 1212/1318 18006KT CAVOK TX40/1216Z TN21/1305Z PROB40 TEMPO 1212/1218 19010KT PROB30 TEMPO 1300/1303 10010KT PROB30 TEMPO 1303/1306 02010KT PROB40 TEMPO 1313/1318 20010KT
2026-08-12T14:19+00:00,MAD,LEMD,2026-08-13,1,,,21.0,05,2026-08-12T12:00:00+00:00,2026-08-13T18:00:00+00:00,TEMPO 1313/1318 20010KT,TAF LEMD 121100Z 1212/1318 18006KT CAVOK TX40/1216Z TN21/1305Z PROB40 TEMPO 1212/1218 19010KT PROB30 TEMPO 1300/1303 10010KT PROB30 TEMPO 1303/1306 02010KT PROB40 TEMPO 1313/1318 20010KT
2026-08-12T14:19+00:00,SEL,RKSI,2026-08-13,1,32.0,06,23.0,20,2026-08-12T12:00:00+00:00,2026-08-13T18:00:00+00:00,,TAF RKSI 121100Z 1212/1318 08008KT CAVOK TN23/1220Z TX32/1306Z BECMG 1213/1215 02008KT
2026-08-12T14:19+00:00,PUS,RKPK,2026-08-13,1,30.0,06,23.0,20,2026-08-12T12:00:00+00:00,2026-08-13T18:00:00+00:00,,TAF RKPK 121100Z 1212/1318 03008KT 9999 BKN040 TN23/1220Z TX30/1306Z BECMG 1217/1218 03006KT BECMG 1302/1303 15008KT BECMG 1309/1310 15006KT 8000 -RA BKN015 BKN030 BECMG 1315/1316 12006KT 9999 NSW BKN030
2026-08-12T14:19+00:00,CTU,ZUUU,2026-08-13,1,38.0,07,26.0,22,2026-08-12T12:00:00+00:00,2026-08-13T12:00:00+00:00,,TAF ZUUU 120904Z 1212/1312 02003MPS 6000 NSC TX38/1307Z TN26/1222Z
2026-08-12T14:19+00:00,MNL,RPLL,2026-08-13,1,30.0,06,26.0,21,2026-08-12T12:00:00+00:00,2026-08-13T18:00:00+00:00,TEMPO 1303/1309 26015G25KT -SHRA FEW022CB SCT023 OVC090,TAF RPLL 121100Z 1212/1318 25008KT 9999 SCT023 BKN090 TX30/1306Z TN26/1221Z TEMPO 1212/1218 -SHRA FEW022CB SCT023 OVC090 TEMPO 1303/1309 26015G25KT -SHRA FEW022CB SCT023 OVC090
2026-08-12T14:19+00:00,TLV,LLBG,2026-08-12,0,34.0,12,,,2026-08-12T12:00:00+00:00,2026-08-13T12:00:00+00:00,,TAF LLBG 121101Z 1212/1312 29010KT CAVOK TX34/1212Z TN24/1303Z BECMG 1215/1217 35005KT BECMG 1221/1223 VRB04KT FEW015 PROB30 TEMPO 1300/1305 BKN015 BECMG 1306/1308 24007KT CAVOK
2026-08-12T14:19+00:00,TLV,LLBG,2026-08-13,1,,,24.0,03,2026-08-12T12:00:00+00:00,2026-08-13T12:00:00+00:00,,TAF LLBG 121101Z 1212/1312 29010KT CAVOK TX34/1212Z TN24/1303Z BECMG 1215/1217 35005KT BECMG 1221/1223 VRB04KT FEW015 PROB30 TEMPO 1300/1305 BKN015 BECMG 1306/1308 24007KT CAVOK
2026-08-12T14:19+00:00,MEX,MMMX,2026-08-12,0,25.0,21,,,2026-08-12T12:00:00+00:00,2026-08-13T12:00:00+00:00,TEMPO 1221/1301 3SM TSRA BKN015CB,TAF COR MMMX 121358Z 1212/1312 05005KT P6SM SCT020 BKN250 TX25/1221Z TN13/1312Z FM122000 06010KT P6SM BKN020 BKN080 TEMPO 1221/1301 3SM TSRA BKN015CB FM130100 20005KT 5SM -RA BKN015 FM130300 30005KT P6SM SCT020 BKN070
2026-08-12T14:19+00:00,MEX,MMMX,2026-08-13,1,,,13.0,12,2026-08-12T12:00:00+00:00,2026-08-13T12:00:00+00:00,FM130300 30005KT P6SM SCT020 BKN070,TAF COR MMMX 121358Z 1212/1312 05005KT P6SM SCT020 BKN250 TX25/1221Z TN13/1312Z FM122000 06010KT P6SM BKN020 BKN080 TEMPO 1221/1301 3SM TSRA BKN015CB FM130100 20005KT 5SM -RA BKN015 FM130300 30005KT P6SM SCT020 BKN070
2026-08-12T14:19+00:00,BUE,SAEZ,2026-08-12,0,13.0,19,,,2026-08-12T12:00:00+00:00,2026-08-13T12:00:00+00:00,TEMPO 1215/1221 8000 -RA BKN020,TAF SAEZ 121100Z 1212/1312 14010KT 9999 BKN035 TX13/1219Z TN05/1309Z TEMPO 1215/1221 8000 -RA BKN020 TEMPO 1220/1224 14015G25KT PROB40 1303/1305 BKN015
2026-08-12T14:19+00:00,BUE,SAEZ,2026-08-13,1,,,5.0,09,2026-08-12T12:00:00+00:00,2026-08-13T12:00:00+00:00,,TAF SAEZ 121100Z 1212/1312 14010KT 9999 BKN035 TX13/1219Z TN05/1309Z TEMPO 1215/1221 8000 -RA BKN020 TEMPO 1220/1224 14015G25KT PROB40 1303/1305 BKN015
2026-08-12T14:19+00:00,SAO,SBGR,2026-08-13,1,28.0,17,14.0,09,2026-08-12T12:00:00+00:00,2026-08-13T18:00:00+00:00,,TAF SBGR 120900Z 1212/1318 15008KT 8000 BKN010 TN14/1309Z TX28/1317Z BECMG 1212/1215 07005KT 9999 SCT020 BECMG 1217/1220 13005KT BECMG 1222/1224 06004KT CAVOK PROB30 1309/1311 6000 SCT010 BECMG 1312/1315 34008KT SCT028 RMK PGQ
2026-08-12T14:19+00:00,CPT,FACT,2026-08-13,1,27.0,12,12.0,05,2026-08-12T12:00:00+00:00,2026-08-13T18:00:00+00:00,FM130000 VRB03KT CAVOK,TAF FACT 121000Z 1212/1318 18010KT CAVOK TX27/1312Z TN12/1305Z FM130000 VRB03KT CAVOK BECMG 1308/1310 35010KT
