datum,p1_ifs,p1_aifs,p1_gfs,p1_icon,p1_gem,p2_ifs,p2_aifs,p2_gfs,p2_icon,p2_gem,mm_gem,mm_spreiding,run2run,rh_gem,bewolking_gem,wind_max,instraling_som,neerslag_som,doy_sin,doy_cos,era5_max,station_max,doel,doelbron
2023-11-01,,,25.2,,,,,25.6,,,,,,84,5,14.3,10.68,0.0,-0.8606,0.5093,22.2,23.0,23.0,station
2023-11-02,,,25.5,,,,,21.9,,,,,,68,53,17.8,7.98,0.0,-0.8517,0.524,21.5,22.0,22.0,station
2023-11-03,,,17.6,,,,,17.3,,,,,,48,51,18.0,10.0,0.0,-0.8426,0.5386,15.8,18.0,18.0,station
2023-11-04,,,15.7,,,,,16.4,,,,,,68,96,7.6,6.74,0.0,-0.8332,0.553,15.4,16.0,16.0,station
2023-11-05,,,13.2,,,,,13.3,,,,,,78,100,25.5,2.0,6.8,-0.8235,0.5672,11.4,11.0,11.0,station
2023-11-06,,,10.1,,,,,9.9,,,,,,28,20,26.0,9.76,0.0,-0.8137,0.5813,9.3,8.0,8.0,station
2023-11-07,,,11.0,,,,,11.0,,,,,,57,38,8.6,10.08,0.0,-0.8035,0.5952,9.6,11.0,11.0,station
2023-11-08,,,13.4,,,,,12.2,,,,,,62,33,12.0,9.83,0.0,-0.7932,0.609,13.2,15.0,15.0,station
2023-11-09,,,8.7,,,,,7.7,,,,,,24,7,32.7,10.25,0.0,-0.7826,0.6225,6.9,9.0,9.0,station
2023-11-10,,,4.9,,,,,4.5,,,,,,29,63,19.2,9.36,0.0,-0.7718,0.6359,3.9,5.0,5.0,station
2023-11-11,,,6.6,,,,,6.6,,,,,,36,11,14.9,9.95,0.0,-0.7607,0.6491,4.9,7.0,7.0,station
2023-11-12,,,6.6,,,,,7.3,,,,,,31,13,18.4,9.7,0.0,-0.7494,0.6621,6.1,7.0,7.0,station
2023-11-13,,,6.6,,,,,7.1,,,,,,46,62,15.6,8.94,0.0,-0.7379,0.6749,5.9,8.0,8.0,station
2023-11-14,,,11.4,,,,,11.1,,,,,,61,13,11.9,9.54,0.0,-0.7262,0.6875,9.7,13.0,13.0,station
2023-11-15,,,9.2,,,,,9.2,,,,,,71,55,9.8,6.08,0.0,-0.7143,0.6998,8.3,11.0,11.0,station
2023-11-16,,,10.0,,,,,9.6,,,,,,40,23,24.0,8.1,0.0,-0.7021,0.712,10.1,11.0,11.0,station
2023-11-17,,,8.4,,,,,8.2,,,,,,23,0,23.1,9.31,0.0,-0.6898,0.724,8.6,10.0,10.0,station
2023-11-18,,,8.6,,,,,9.0,,,,,,51,0,9.7,9.1,0.0,-0.6772,0.7358,8.0,12.0,12.0,station
2023-11-19,,,14.3,,,,,14.0,,,,,,52,0,15.5,8.85,0.0,-0.6645,0.7473,13.3,17.0,17.0,station
2023-11-20,,,12.5,,,,,12.8,,,,,,77,25,8.2,8.7,0.0,-0.6515,0.7586,10.7,14.0,14.0,station
2023-11-21,,,13.0,,,,,12.6,,,,,,79,47,10.2,8.43,0.0,-0.6384,0.7697,12.7,13.0,13.0,station
2023-11-22,,,14.6,,,,,14.7,,,,,,58,30,23.7,8.56,0.0,-0.625,0.7806,14.7,16.0,16.0,station
2023-11-23,,,7.1,,,,,4.4,,,,,,24,1,29.7,8.86,0.0,-0.6115,0.7912,4.8,7.0,7.0,station
2023-11-24,,,0.1,,,,,0.5,,,,,,26,0,10.2,8.75,0.0,-0.5978,0.8016,-0.1,1.0,1.0,station
2023-11-25,,,2.1,,,,,2.5,,,,,,38,33,8.3,3.99,0.0,-0.584,0.8118,0.1,1.0,1.0,station
2023-11-26,,,2.1,,,,,3.7,,,,,,45,45,7.6,5.81,0.0,-0.5699,0.8217,1.7,1.0,1.0,station
2023-11-27,,,7.7,,,,,8.7,,,,,,43,12,25.6,8.15,0.0,-0.5557,0.8314,7.7,9.0,9.0,station
2023-11-28,,,3.3,,,,,3.3,,,,,,31,35,26.1,7.28,0.0,-0.5413,0.8408,2.5,4.0,4.0,station
2023-11-29,,,1.5,,,,,1.7,,,,,,24,0,27.9,8.33,0.0,-0.5268,0.85,1.2,2.0,2.0,station
