datum,p1_ifs,p1_aifs,p1_gfs,p1_icon,p1_gem,p2_ifs,p2_aifs,p2_gfs,p2_icon,p2_gem,mm_gem,mm_spreiding,run2run,rh_gem,bewolking_gem,wind_max,instraling_som,neerslag_som,doy_sin,doy_cos,era5_max,station_max,doel,doelbron
2023-11-01,,,20.7,,,,,20.9,,,,,,89,97,21.5,15.67,7.7,-0.8606,0.5093,22.3,22.0,22.0,station
2023-11-02,,,24.7,,,,,23.6,,,,,,86,92,16.4,15.88,0.0,-0.8517,0.524,23.0,22.0,22.0,station
2023-11-03,,,34.4,,,,,33.0,,,,,,80,60,32.0,25.03,12.6,-0.8426,0.5386,29.9,32.0,32.0,station
2023-11-04,,,28.3,,,,,29.0,,,,,,70,76,23.9,25.87,0.8,-0.8332,0.553,25.6,27.0,27.0,station
2023-11-05,,,25.2,,,,,25.2,,,,,,79,42,19.5,29.49,0.0,-0.8235,0.5672,22.8,24.0,24.0,station
2023-11-06,,,25.5,,,,,25.8,,,,,,80,37,19.5,30.21,0.0,-0.8137,0.5813,22.7,25.0,25.0,station
2023-11-07,,,29.2,,,,,29.0,,,,,,78,26,16.5,29.71,0.0,-0.8035,0.5952,25.9,27.0,27.0,station
2023-11-08,,,34.2,,,,,34.3,,,,,,65,5,14.4,30.44,0.0,-0.7932,0.609,30.9,33.0,33.0,station
2023-11-09,,,35.1,,,,,35.5,,,,,,64,61,17.8,27.58,0.3,-0.7826,0.6225,31.2,33.0,33.0,station
2023-11-10,,,34.6,,,,,32.6,,,,,,82,64,15.3,24.86,4.8,-0.7718,0.6359,30.5,31.0,31.0,station
2023-11-11,,,35.8,,,,,37.2,,,,,,63,85,19.4,28.88,0.0,-0.7607,0.6491,33.0,34.0,34.0,station
2023-11-12,,,37.1,,,,,38.4,,,,,,54,51,16.4,29.65,0.0,-0.7494,0.6621,34.8,36.0,36.0,station
2023-11-13,,,38.4,,,,,39.3,,,,,,58,36,19.8,29.11,0.0,-0.7379,0.6749,35.9,37.0,37.0,station
2023-11-14,,,39.3,,,,,39.5,,,,,,72,40,25.6,26.37,1.5,-0.7262,0.6875,35.7,37.0,37.0,station
2023-11-15,,,39.0,,,,,39.7,,,,,,64,63,20.6,26.65,1.5,-0.7143,0.6998,33.9,36.0,36.0,station
2023-11-16,,,39.0,,,,,39.6,,,,,,64,90,29.0,24.56,1.3,-0.7021,0.712,31.7,32.0,32.0,station
2023-11-17,,,39.4,,,,,39.8,,,,,,58,88,17.9,26.8,0.5,-0.6898,0.724,34.0,36.0,36.0,station
2023-11-18,,,38.1,,,,,39.0,,,,,,60,95,31.6,24.93,1.3,-0.6772,0.7358,32.9,35.0,35.0,station
2023-11-19,,,28.3,,,,,30.8,,,,,,84,99,17.6,16.47,21.3,-0.6645,0.7473,27.1,25.0,25.0,station
2023-11-20,,,24.3,,,,,27.9,,,,,,85,98,20.1,18.3,3.4,-0.6515,0.7586,25.9,26.0,26.0,station
2023-11-21,,,30.6,,,,,35.1,,,,,,82,70,14.7,23.84,5.6,-0.6384,0.7697,29.6,31.0,31.0,station
2023-11-22,,,32.0,,,,,32.2,,,,,,75,80,23.9,26.4,1.6,-0.625,0.7806,29.4,32.0,32.0,station
2023-11-23,,,31.9,,,,,28.0,,,,,,81,81,24.2,17.24,22.1,-0.6115,0.7912,26.9,29.0,29.0,station
2023-11-24,,,20.8,,,,,22.2,,,,,,88,100,24.0,9.77,9.2,-0.5978,0.8016,20.0,21.0,21.0,station
2023-11-25,,,15.5,,,,,15.5,,,,,,83,99,18.6,10.46,1.6,-0.584,0.8118,19.3,18.0,18.0,station
2023-11-26,,,25.0,,,,,21.8,,,,,,86,97,16.4,15.38,2.9,-0.5699,0.8217,23.0,22.0,22.0,station
2023-11-27,,,27.1,,,,,27.9,,,,,,87,94,13.1,16.05,12.5,-0.5557,0.8314,26.6,27.0,27.0,station
2023-11-28,,,29.9,,,,,27.8,,,,,,85,91,21.0,18.67,8.6,-0.5413,0.8408,28.1,30.0,30.0,station
2023-11-29,,,27.6,,,,,29.4,,,,,,80,67,30.2,20.73,5.1,-0.5268,0.85,26.6,27.0,27.0,station
2023-11-30,,,31.6,,,,,31.5,,,,,,81,40,21.9,22.96,2.0,-0.5121,0.859,28.0,30.0,30.0,station
2023-12-01,,,31.3,,,,,30.7,,,,,,84,71,17.0,27.81,0.2,-0.4972,0.8676,29.3,30.0,30.0,station
2023-12-02,,,34.7,,,,,35.6,,,,,,75,51,13.8,29.78,0.0,-0.4822,0.8761,31.1,33.0,33.0,station
2023-12-03,,,34.1,,,,,34.8,,,,,,69,41,20.2,31.0,0.0,-0.4671,0.8842,32.2,33.0,33.0,station
2023-12-04,,,33.9,,,,,33.8,,,,,,80,89,17.7,27.33,1.3,-0.4518,0.8921,30.6,34.0,34.0,station
2023-12-05,,,31.0,,,,,31.0,,,,,,84,97,15.8,20.67,6.6,-0.4364,0.8998,27.5,28.0,28.0,station
2023-12-06,,,33.2,,,,,33.3,,,,,,81,86,13.8,24.83,1.1,-0.4208,0.9071,29.7,33.0,33.0,station
