datum,p1_ifs,p1_aifs,p1_gfs,p1_icon,p1_gem,p2_ifs,p2_aifs,p2_gfs,p2_icon,p2_gem,mm_gem,mm_spreiding,run2run,rh_gem,bewolking_gem,wind_max,instraling_som,neerslag_som,doy_sin,doy_cos,era5_max,station_max,doel,doelbron
2023-11-01,,,34.1,,,,,34.1,,,,,,60,13,23.1,17.89,0.3,-0.8606,0.5093,35.6,36.0,36.0,station
2023-11-02,,,34.8,,,,,33.6,,,,,,58,20,21.6,17.25,0.0,-0.8517,0.524,35.3,37.0,37.0,station
2023-11-03,,,33.8,,,,,34.2,,,,,,64,14,15.9,16.81,2.2,-0.8426,0.5386,34.8,35.0,35.0,station
2023-11-04,,,33.9,,,,,33.1,,,,,,60,2,23.2,18.4,0.0,-0.8332,0.553,35.4,36.0,36.0,station
2023-11-05,,,33.6,,,,,33.4,,,,,,74,5,18.6,17.75,0.3,-0.8235,0.5672,33.9,35.0,35.0,station
2023-11-06,,,33.7,,,,,33.6,,,,,,72,38,17.9,17.21,0.3,-0.8137,0.5813,33.5,34.0,34.0,station
2023-11-07,,,34.2,,,,,33.9,,,,,,61,52,32.3,16.06,0.9,-0.8035,0.5952,32.9,32.0,32.0,station
2023-11-08,,,35.0,,,,,35.9,,,,,,51,19,24.8,16.76,0.0,-0.7932,0.609,36.9,37.0,37.0,station
2023-11-09,,,33.3,,,,,33.1,,,,,,60,46,23.5,15.53,0.2,-0.7826,0.6225,34.4,36.0,36.0,station
2023-11-10,,,34.5,,,,,33.0,,,,,,66,53,18.9,13.61,0.0,-0.7718,0.6359,33.4,35.0,35.0,station
2023-11-11,,,35.0,,,,,34.1,,,,,,54,8,24.9,17.46,0.0,-0.7607,0.6491,35.5,33.0,33.0,station
2023-11-12,,,33.2,,,,,33.0,,,,,,62,64,21.3,17.28,0.0,-0.7494,0.6621,34.5,34.0,34.0,station
2023-11-13,,,33.2,,,,,32.9,,,,,,60,63,20.8,17.29,0.0,-0.7379,0.6749,35.0,36.0,36.0,station
2023-11-14,,,33.2,,,,,33.2,,,,,,65,74,20.5,15.68,0.7,-0.7262,0.6875,33.8,35.0,35.0,station
2023-11-15,,,31.1,,,,,31.9,,,,,,76,74,14.5,13.49,15.3,-0.7143,0.6998,29.7,33.0,33.0,station
2023-11-16,,,30.5,,,,,30.4,,,,,,63,58,23.4,17.73,0.0,-0.7021,0.712,32.0,33.0,33.0,station
2023-11-17,,,34.9,,,,,33.9,,,,,,56,45,26.4,17.15,0.0,-0.6898,0.724,35.7,36.0,36.0,station
2023-11-18,,,32.2,,,,,32.4,,,,,,65,59,18.3,16.84,0.0,-0.6772,0.7358,33.4,33.0,33.0,station
2023-11-19,,,30.2,,,,,31.1,,,,,,79,82,22.2,13.67,27.8,-0.6645,0.7473,30.4,32.0,32.0,station
2023-11-20,,,30.2,,,,,30.5,,,,,,76,43,19.0,15.99,21.6,-0.6515,0.7586,29.1,33.0,33.0,station
2023-11-21,,,28.6,,,,,28.8,,,,,,67,10,26.6,16.75,0.0,-0.6384,0.7697,28.4,32.0,32.0,station
2023-11-22,,,31.0,,,,,30.8,,,,,,67,16,20.5,16.62,0.0,-0.625,0.7806,31.9,35.0,35.0,station
2023-11-23,,,31.8,,,,,30.9,,,,,,78,37,19.2,14.62,1.7,-0.6115,0.7912,31.9,34.0,34.0,station
2023-11-24,,,32.0,,,,,31.7,,,,,,73,8,17.3,16.22,0.0,-0.5978,0.8016,33.0,34.0,34.0,station
2023-11-25,,,31.5,,,,,31.7,,,,,,71,38,17.9,16.52,0.0,-0.584,0.8118,34.1,34.0,34.0,station
2023-11-26,,,31.9,,,,,32.5,,,,,,74,66,18.9,16.47,0.0,-0.5699,0.8217,32.7,34.0,34.0,station
2023-11-27,,,32.1,,,,,32.2,,,,,,73,53,25.5,16.34,0.0,-0.5557,0.8314,32.8,35.0,35.0,station
2023-11-28,,,30.3,,,,,30.6,,,,,,66,32,30.1,16.4,0.0,-0.5413,0.8408,32.6,32.0,32.0,station
2023-11-29,,,31.4,,,,,31.5,,,,,,70,0,19.6,16.51,0.0,-0.5268,0.85,31.8,32.0,32.0,station
2023-11-30,,,31.0,,,,,30.8,,,,,,70,3,14.8,15.74,0.0,-0.5121,0.859,32.3,33.0,33.0,station
2023-12-01,,,32.6,,,,,32.2,,,,,,70,4,22.4,16.02,0.0,-0.4972,0.8676,33.6,35.0,35.0,station
2023-12-02,,,31.4,,,,,31.5,,,,,,73,9,23.8,15.94,0.0,-0.4822,0.8761,32.9,33.0,33.0,station
2023-12-03,,,31.2,,,,,31.0,,,,,,70,52,15.6,12.12,2.6,-0.4671,0.8842,32.1,34.0,34.0,station
2023-12-04,,,31.5,,,,,31.3,,,,,,62,3,24.5,15.78,0.0,-0.4518,0.8921,33.4,34.0,34.0,station
2023-12-05,,,31.0,,,,,30.9,,,,,,72,5,25.8,15.29,0.5,-0.4364,0.8998,33.0,33.0,33.0,station
2023-12-06,,,30.7,,,,,31.1,,,,,,72,18,20.0,13.1,1.1,-0.4208,0.9071,32.1,34.0,34.0,station
2023-12-07,,,32.3,,,,,32.0,,,,,,67,0,22.7,16.22,0.0,-0.4052,0.9142,33.4,34.0,34.0,station
2023-12-08,,,30.0,,,,,29.4,,,,,,71,46,17.7,15.93,0.0,-0.3894,0.9211,31.1,32.0,32.0,station
2023-12-09,,,30.4,,,,,30.0,,,,,,65,42,26.4,15.32,0.0,-0.3735,0.9276,33.2,33.0,33.0,station
2023-12-10,,,30.5,,,,,30.7,,,,,,67,46,17.1,14.97,0.2,-0.3575,0.9339,32.1,33.0,33.0,station
2023-12-11,,,30.3,,,,,30.4,,,,,,66,85,23.4,14.36,4.4,-0.3413,0.9399,31.9,32.0,32.0,station
2023-12-12,,,30.3,,,,,30.8,,,,,,73,75,36.0,14.48,10.0,-0.3251,0.9457,31.1,32.0,32.0,station
2023-12-13,,,26.3,,,,,26.3,,,,,,58,26,30.0,16.24,0.2,-0.3088,0.9511,26.8,28.0,28.0,station
2023-12-14,,,31.7,,,,,31.6,,,,,,35,1,35.0,16.88,0.0,-0.2924,0.9563,32.5,33.0,33.0,station
2023-12-15,,,31.7,,,,,32.1,,,,,,31,0,36.6,16.24,0.0,-0.2759,0.9612,34.6,35.0,35.0,station
2023-12-16,,,31.2,,,,,31.1,,,,,,34,0,24.8,16.35,0.0,-0.2593,0.9658,32.7,33.0,33.0,station
2023-12-17,,,31.1,,,,,31.0,,,,,,38,7,30.3,16.48,0.0,-0.2427,0.9701,32.3,35.0,35.0,station
2023-12-18,,,29.0,,,,,29.4,,,,,,50,27,22.8,16.32,0.0,-0.226,0.9741,30.5,32.0,32.0,station
2023-12-19,,,29.9,,,,,29.9,,,,,,66,13,23.0,15.64,0.0,-0.2092,0.9779,31.9,32.0,32.0,station
2023-12-20,,,30.3,,,,,30.4,,,,,,58,21,27.7,15.03,0.0,-0.1923,0.9813,32.8,32.0,32.0,station
2023-12-21,,,29.9,,,,,30.1,,,,,,64,28,28.0,14.96,0.0,-0.1754,0.9845,33.0,33.0,33.0,station
2023-12-22,,,29.8,,,,,30.2,,,,,,68,14,36.7,14.67,0.7,-0.1585,0.9874,31.9,33.0,33.0,station
2023-12-23,,,26.5,,,,,26.4,,,,,,68,54,25.9,9.92,1.8,-0.1414,0.9899,26.5,29.0,29.0,station
2023-12-24,,,26.2,,,,,26.5,,,,,,56,3,24.7,15.61,0.0,-0.1244,0.9922,27.2,28.0,28.0,station
2023-12-25,,,26.9,,,,,27.2,,,,,,56,3,21.7,15.69,0.0,-0.1073,0.9942,27.8,29.0,29.0,station
2023-12-26,,,27.8,,,,,28.4,,,,,,60,18,21.9,15.02,0.3,-0.0902,0.9959,30.3,31.0,31.0,station
2023-12-27,,,28.7,,,,,29.4,,,,,,74,48,27.1,13.44,7.2,-0.073,0.9973,27.7,31.0,31.0,station
2023-12-28,,,28.2,,,,,27.8,,,,,,84,44,16.3,10.26,6.0,-0.0559,0.9984,24.3,30.0,30.0,station
2023-12-29,,,26.6,,,,,26.4,,,,,,73,34,23.1,13.96,0.7,-0.0387,0.9993,26.4,29.0,29.0,station
2023-12-30,,,,,,,,,,,,,,66,11,21.3,15.51,0.0,-0.0215,0.9998,27.6,30.0,30.0,station
2023-12-31,,,,,,,,,,,,,,53,1,19.5,16.61,0.0,-0.0043,1.0,28.7,,,
2024-01-01,,,,,,,,,,,,,,56,0,23.2,16.14,0.0,0.0172,0.9999,30.3,30.0,30.0,station
2024-01-02,,,,,,,,,,,,,,63,5,23.1,15.04,0.0,0.0344,0.9994,29.3,29.0,29.0,station
2024-01-03,,,,,,,,,,,,,,58,1,23.2,16.43,0.0,0.0516,0.9987,28.3,29.0,29.0,station
2024-01-04,,,,,,,,,,,,,,58,8,19.8,16.08,0.1,0.0688,0.9976,30.4,30.0,30.0,station
2024-01-05,,,,,,,,,,,,,,68,34,22.2,15.57,1.8,0.0859,0.9963,28.3,30.0,30.0,station
2024-01-06,,,,,,,,,,,,,,64,32,22.8,16.0,0.0,0.103,0.9947,30.7,31.0,31.0,station
2024-01-07,,,,,,,,,,,,,,62,5,18.4,16.07,0.0,0.1201,0.9928,30.2,31.0,31.0,station
2024-01-08,,,,,,,,,,,,,,56,0,23.1,16.43,0.0,0.1372,0.9905,31.4,35.0,35.0,station
2024-01-09,,,,,,,,,,,,,,67,10,19.1,16.44,0.0,0.1542,0.988,31.1,32.0,32.0,station
2024-01-10,,,,,,,,,,,,,,72,31,23.0,15.71,0.8,0.1712,0.9852,30.6,31.0,31.0,station
2024-01-11,,,,,,,,,,,,,,69,18,26.0,14.57,0.6,0.1881,0.9821,29.1,32.0,32.0,station
2024-01-12,,,,,,,,,,,,,,58,17,26.7,16.58,0.0,0.205,0.9788,28.1,29.0,29.0,station
2024-01-13,,,,,,,,,,,,,,56,16,19.1,16.66,0.0,0.2218,0.9751,28.8,29.0,29.0,station
2024-01-14,,,,,,,,,,,,,,68,64,19.0,14.99,0.1,0.2385,0.9711,28.6,29.0,29.0,station
2024-01-15,,,,,,,,,,,,,,55,68,30.9,16.4,0.0,0.2552,0.9669,28.5,29.0,29.0,station
2024-01-16,,,,,,,,,,,,,,52,84,32.6,16.5,0.0,0.2718,0.9624,28.5,29.0,29.0,station
2024-01-17,,,,,,,,,,,,,,57,59,27.3,16.88,0.0,0.2883,0.9575,27.3,27.0,27.0,station
2024-01-18,,,,,,,,,,,,,,59,36,24.0,17.49,0.0,0.3047,0.9524,27.8,28.0,28.0,station
2024-01-19,,,,,,,,,,,,,,50,10,25.3,17.13,0.2,0.3211,0.9471,32.1,32.0,32.0,station
2024-01-20,,,28.1,30.5,29.0,,,,,,,,,64,10,19.4,16.63,0.0,0.3373,0.9414,29.5,31.0,31.0,station
2024-01-21,,,30.1,31.9,29.5,,,30.0,32.0,29.7,,,,64,1,21.2,16.96,0.0,0.3534,0.9355,31.6,32.0,32.0,station
2024-01-22,,,29.6,32.0,30.0,,,29.6,31.7,29.9,,,,68,2,21.9,16.96,0.0,0.3695,0.9292,31.0,31.0,31.0,station
2024-01-23,,,30.5,32.6,30.6,,,30.3,31.9,30.3,,,,68,4,21.5,17.01,0.0,0.3854,0.9227,32.3,33.0,33.0,station
2024-01-24,,,27.8,29.9,29.4,,,27.5,29.5,29.5,,,,67,64,29.6,17.23,0.0,0.4012,0.916,30.5,30.0,30.0,station
2024-01-25,,,26.8,27.7,27.6,,,26.5,27.6,27.3,,,,65,98,25.0,16.86,0.4,0.4169,0.9089,28.5,29.0,29.0,station
2024-01-26,,,23.2,23.8,23.2,,,23.6,23.6,23.1,,,,62,100,31.0,7.11,2.8,0.4325,0.9016,23.3,25.0,25.0,station
2024-01-27,,,24.3,24.7,24.4,,,25.0,24.9,24.6,,,,56,100,25.2,11.66,0.0,0.4479,0.8941,25.3,26.0,26.0,station
2024-01-28,,,24.7,26.2,25.4,,,24.6,26.0,25.0,,,,52,98,29.1,15.03,0.0,0.4633,0.8862,26.0,27.0,27.0,station
2024-01-29,,,25.2,25.8,25.5,,,25.2,25.9,24.9,,,,53,100,28.0,14.61,0.0,0.4784,0.8781,25.6,26.0,26.0,station
2024-01-30,,,24.7,25.4,25.2,,,24.8,25.7,25.3,,,,54,80,29.2,17.34,0.0,0.4935,0.8698,25.7,26.0,26.0,station
2024-01-31,,,24.2,25.5,24.7,,,24.0,25.4,24.5,,,,55,3,29.4,18.67,0.0,0.5084,0.8611,25.7,26.0,26.0,station
2024-02-01,,,23.5,24.4,23.1,,,23.4,24.1,22.9,,,,51,11,30.6,18.0,0.0,0.5231,0.8523,24.0,24.0,24.0,station
2024-02-02,,,21.8,23.3,22.5,,,22.0,23.4,22.4,,,,43,26,30.2,18.44,0.0,0.5377,0.8432,23.4,23.0,23.0,station
2024-02-03,,,23.8,25.0,23.8,,,23.9,25.1,23.5,,,,47,27,27.9,18.84,0.0,0.5521,0.8338,25.2,26.0,26.0,station
2024-02-04,26.1,,24.9,25.7,24.8,,,24.5,25.8,24.7,25.38,0.63,,46,55,28.0,19.13,0.0,0.5664,0.8242,25.7,26.0,26.0,station
2024-02-05,25.9,,25.0,25.7,24.8,26.1,,24.7,25.7,24.7,25.35,0.53,0.05,48,96,31.2,18.0,0.0,0.5805,0.8143,25.9,26.0,26.0,station
2024-02-06,27.6,,25.4,27.1,26.5,28.1,,26.3,28.7,26.1,26.65,0.95,-0.65,46,37,27.5,19.14,0.0,0.5944,0.8042,27.8,29.0,29.0,station
2024-02-07,31.0,,28.6,31.7,29.3,31.8,,31.2,32.3,29.9,30.15,1.44,-1.15,47,44,20.9,17.24,0.5,0.6081,0.7938,30.6,31.0,31.0,station
2024-02-08,28.4,,27.1,30.2,26.9,28.8,,26.8,30.7,26.9,28.15,1.52,-0.15,67,45,22.9,15.05,0.6,0.6217,0.7833,28.5,29.0,29.0,station
2024-02-09,28.7,,27.5,30.1,27.2,28.4,,27.4,30.3,27.6,28.38,1.32,-0.05,74,49,22.1,17.94,5.4,0.6351,0.7725,29.2,29.0,29.0,station
2024-02-10,27.5,,28.2,28.3,27.7,28.0,,27.6,28.7,27.8,27.93,0.39,-0.1,69,46,23.3,18.36,1.7,0.6483,0.7614,28.4,28.0,28.0,station
2024-02-11,28.6,,27.2,29.1,27.5,27.8,,27.0,28.3,27.6,28.1,0.9,0.43,56,0,24.5,20.4,0.0,0.6613,0.7502,28.9,30.0,30.0,station
2024-02-12,32.9,,31.1,33.0,32.0,32.2,,31.2,33.2,31.2,32.25,0.89,0.3,44,52,36.4,19.43,0.0,0.6741,0.7387,33.6,35.0,35.0,station
2024-02-13,27.3,,28.6,29.7,25.8,28.7,,28.8,30.2,26.2,27.85,1.68,-0.62,70,36,26.0,15.03,6.2,0.6867,0.727,27.6,30.0,30.0,station
2024-02-14,31.1,,30.2,31.3,30.3,30.4,,29.6,31.0,31.0,30.73,0.56,0.23,79,17,30.2,18.5,2.9,0.6991,0.715,30.7,31.0,31.0,station
2024-02-15,26.9,,27.5,28.0,27.8,26.9,,27.8,28.7,28.7,27.55,0.48,-0.47,87,93,25.1,15.72,10.5,0.7113,0.7029,26.9,29.0,29.0,station
2024-02-16,25.7,,25.7,26.7,27.1,24.9,,26.1,26.3,27.1,26.3,0.71,0.2,68,13,29.9,20.38,1.2,0.7233,0.6906,25.5,28.0,28.0,station
2024-02-17,25.4,,24.7,26.0,25.9,24.8,,24.6,25.8,25.9,25.5,0.59,0.23,51,14,30.0,21.15,0.0,0.735,0.678,26.1,27.0,27.0,station
2024-02-18,27.7,,27.4,28.0,26.5,27.2,,27.0,27.8,26.1,27.4,0.65,0.38,51,22,31.1,21.31,0.0,0.7466,0.6653,28.0,29.0,29.0,station
2024-02-19,28.3,,26.8,27.9,26.9,28.0,,26.7,27.4,26.7,27.48,0.74,0.28,60,58,30.4,20.57,0.0,0.7579,0.6523,27.9,29.0,29.0,station
2024-02-20,28.3,,26.3,27.9,26.0,28.2,,27.1,27.8,26.8,27.12,1.14,-0.35,59,74,28.6,20.0,0.0,0.769,0.6392,27.8,30.0,30.0,station
2024-02-21,30.7,,28.4,31.8,28.6,30.9,,27.8,32.5,28.2,29.88,1.65,0.02,54,8,26.8,20.52,0.0,0.7799,0.6259,30.4,31.0,31.0,station
2024-02-22,31.6,,30.2,32.0,29.9,32.1,,29.2,31.6,29.3,30.93,1.03,0.38,59,0,23.1,20.39,0.0,0.7906,0.6124,31.1,33.0,33.0,station
2024-02-23,34.5,,31.0,32.9,31.8,34.3,,31.1,32.6,31.8,32.55,1.52,0.1,59,9,23.4,20.61,0.0,0.801,0.5987,33.2,34.0,34.0,station
2024-02-24,32.8,,29.7,32.1,31.5,32.5,,29.3,31.1,30.8,31.52,1.33,0.6,64,3,27.8,20.58,0.0,0.8112,0.5848,32.8,33.0,33.0,station
2024-02-25,31.6,,28.6,29.6,29.6,30.7,,28.4,29.8,29.7,29.85,1.26,0.2,59,0,31.9,21.0,0.0,0.8211,0.5708,30.7,30.0,30.0,station
2024-02-26,30.2,,28.8,29.5,28.4,29.9,,27.8,29.7,28.5,29.23,0.79,0.25,63,2,24.1,21.63,0.0,0.8308,0.5566,29.0,28.0,28.0,station
2024-02-27,30.6,,29.5,29.9,28.7,30.5,,29.5,29.2,28.7,29.68,0.79,0.2,60,0,26.6,21.94,0.0,0.8402,0.5422,29.7,30.0,30.0,station
2024-02-28,30.6,,28.2,29.9,29.1,30.4,,28.0,29.7,29.0,29.45,1.03,0.18,53,0,26.9,22.38,0.0,0.8495,0.5277,30.1,31.0,31.0,station
2024-02-29,34.5,,33.2,35.0,32.9,35.4,,32.2,35.4,33.2,33.9,1.01,-0.15,49,0,29.3,22.65,0.0,0.8584,0.513,33.3,34.0,34.0,station
2024-03-01,35.5,,32.9,36.5,33.6,35.4,,32.6,36.5,33.4,34.62,1.66,0.15,38,1,35.4,21.9,0.0,0.8671,0.4981,35.4,36.0,36.0,station
2024-03-02,32.1,,30.6,31.7,30.3,31.9,,30.4,33.0,28.6,31.18,0.86,0.2,56,20,20.3,20.52,0.0,0.8755,0.4831,31.2,32.0,32.0,station
2024-03-03,32.0,,30.1,31.7,29.7,32.3,,29.9,31.4,29.7,30.88,1.14,0.05,63,13,28.6,21.48,0.0,0.8837,0.468,31.1,30.0,30.0,station
2024-03-04,31.5,,29.3,30.4,29.6,31.3,,29.3,30.9,29.4,30.2,0.98,-0.03,63,0,29.1,22.68,0.0,0.8916,0.4527,31.1,32.0,32.0,station
2024-03-05,32.3,,29.9,31.3,30.6,32.6,,29.4,31.1,30.8,31.02,1.02,0.05,60,2,24.1,21.89,0.0,0.8993,0.4373,30.5,32.0,32.0,station
2024-03-06,31.0,,29.5,30.0,29.3,31.2,,29.8,30.5,28.9,29.95,0.76,-0.15,66,16,24.7,21.92,0.0,0.9067,0.4218,29.9,30.0,30.0,station
2024-03-07,31.3,,29.1,30.5,29.4,31.2,,28.8,30.0,29.4,30.07,1.01,0.22,63,0,33.2,23.22,0.0,0.9138,0.4061,30.4,32.0,32.0,station
2024-03-08,29.9,,28.8,28.8,28.4,29.9,,28.0,29.3,28.4,28.98,0.64,0.08,66,0,28.3,23.43,0.0,0.9207,0.3904,29.1,30.0,30.0,station
2024-03-09,31.8,,30.8,31.7,30.5,31.7,,30.6,31.7,29.8,31.2,0.65,0.25,58,0,26.3,23.36,0.0,0.9272,0.3745,30.5,30.0,30.0,station
2024-03-10,35.4,,32.0,34.6,31.2,34.9,,32.6,34.5,30.9,33.3,2.02,0.07,57,3,30.7,23.31,0.0,0.9335,0.3585,34.2,35.0,35.0,station
2024-03-11,32.6,,29.7,33.0,31.2,33.6,,30.4,32.9,30.5,31.62,1.5,-0.23,66,2,18.7,22.51,0.0,0.9396,0.3424,32.1,33.0,33.0,station
2024-03-12,36.9,,33.5,36.3,33.6,37.7,,34.5,37.2,33.6,35.08,1.78,-0.67,59,30,20.5,22.87,0.0,0.9453,0.3261,35.3,37.0,37.0,station
2024-03-13,35.2,,33.9,34.7,32.5,35.4,,32.7,35.6,33.8,34.08,1.18,-0.3,56,57,26.2,22.61,0.0,0.9508,0.3098,34.7,35.0,35.0,station
2024-03-14,35.7,34.2,34.2,36.2,32.6,36.5,,34.3,36.9,33.4,34.58,1.42,-0.7,69,14,33.8,22.66,0.0,0.956,0.2934,34.6,34.0,34.0,station
2024-03-15,34.4,33.0,32.0,33.4,31.6,34.8,32.9,32.2,33.8,32.2,32.88,1.12,-0.3,68,65,27.5,22.32,0.0,0.9609,0.2769,32.4,33.0,33.0,station
2024-03-16,36.6,33.4,31.3,34.6,31.3,36.7,32.6,32.5,34.9,32.2,33.44,2.26,-0.34,50,79,26.9,21.65,0.0,0.9655,0.2604,35.9,34.0,34.0,station
2024-03-17,36.0,35.7,33.9,39.1,31.4,38.2,32.4,35.3,35.3,32.4,35.22,2.84,0.5,37,95,26.0,17.88,1.6,0.9698,0.2437,38.0,37.0,37.0,station
2024-03-18,34.2,33.8,35.2,33.4,33.0,37.6,32.7,36.0,34.6,31.3,33.92,0.84,-0.52,46,99,39.8,12.64,0.6,0.9739,0.227,36.4,34.0,34.0,station
2024-03-19,27.4,28.0,27.0,27.6,26.9,27.6,28.0,27.3,27.5,27.2,27.38,0.45,-0.14,59,81,32.5,14.47,1.1,0.9777,0.2102,27.1,28.0,28.0,station
2024-03-20,30.0,30.4,28.4,30.3,28.5,30.7,30.0,29.3,30.0,28.7,29.52,0.99,-0.22,48,78,30.8,24.09,0.0,0.9811,0.1934,29.9,31.0,31.0,station
2024-03-21,32.7,31.2,29.3,30.6,29.7,32.8,31.0,29.0,31.0,29.4,30.7,1.34,0.06,62,31,28.1,23.17,0.0,0.9843,0.1765,31.0,32.0,32.0,station
2024-03-22,32.0,31.0,31.5,30.8,29.8,31.8,30.9,31.1,30.3,29.8,31.02,0.83,0.24,62,17,28.6,23.67,0.0,0.9872,0.1595,31.0,31.0,31.0,station
2024-03-23,33.3,31.8,30.1,31.2,30.3,33.1,31.6,30.1,31.1,29.8,31.34,1.29,0.2,50,6,30.0,23.94,0.0,0.9898,0.1425,31.9,32.0,32.0,station
2024-03-24,30.4,29.5,28.1,29.1,29.1,30.9,29.3,28.2,30.1,29.7,29.24,0.83,-0.4,45,19,30.6,24.2,0.0,0.9921,0.1255,28.7,29.0,29.0,station
2024-03-25,29.8,30.1,28.3,29.6,28.8,29.7,29.5,28.7,28.3,28.7,29.32,0.75,0.34,31,0,26.6,25.35,0.0,0.9941,0.1084,29.3,30.0,30.0,station
2024-03-26,30.3,30.3,28.5,29.9,28.1,29.4,29.8,28.0,29.6,27.8,29.42,1.04,0.5,52,0,27.2,25.2,0.0,0.9958,0.0913,29.6,31.0,31.0,station
2024-03-27,33.1,33.0,29.5,32.7,32.1,33.3,33.0,31.2,31.7,30.3,32.08,1.49,0.18,62,0,25.0,24.74,0.0,0.9972,0.0741,30.5,31.0,31.0,station
2024-03-28,34.9,33.4,32.1,34.9,33.4,36.5,33.8,32.7,35.0,33.3,33.74,1.18,-0.52,46,19,28.2,22.44,0.0,0.9984,0.057,34.4,34.0,34.0,station
2024-03-29,35.1,32.1,32.5,33.1,30.0,34.8,32.4,32.7,33.4,32.5,32.56,1.84,-0.6,64,48,37.4,21.03,6.3,0.9992,0.0398,33.8,33.0,33.0,station
2024-03-30,31.7,33.0,31.8,33.0,31.8,31.8,33.3,32.3,32.1,31.4,32.26,0.68,0.08,70,32,24.6,23.78,0.0,0.9997,0.0226,31.7,34.0,34.0,station
2024-03-31,32.5,33.9,31.7,33.3,31.8,32.4,34.0,32.1,33.7,31.5,32.64,0.95,-0.1,68,9,26.7,23.97,0.1,1.0,0.0054,32.3,35.0,35.0,station
2024-04-01,33.9,34.5,32.6,33.4,33.3,33.7,34.1,32.4,34.3,33.3,33.54,0.71,-0.02,59,29,20.6,22.85,4.0,0.9999,-0.0118,33.1,34.0,34.0,station
2024-04-02,29.8,33.4,31.8,32.0,32.5,31.7,33.3,32.6,33.3,33.8,31.9,1.33,-1.04,65,35,31.6,23.85,31.2,0.9996,-0.029,32.4,35.0,35.0,station
2024-04-03,31.7,33.6,31.6,32.1,31.6,31.8,33.6,31.7,33.4,32.0,32.12,0.85,-0.38,65,4,26.8,24.65,0.4,0.9989,-0.0462,33.0,33.0,33.0,station
2024-04-04,36.6,35.1,36.3,35.7,33.0,36.2,35.4,35.7,35.1,33.4,35.34,1.43,0.18,49,38,25.5,25.25,0.0,0.998,-0.0634,37.2,36.0,36.0,station
2024-04-05,37.7,36.0,34.8,36.9,34.1,37.3,35.7,35.6,36.5,32.4,35.9,1.47,0.4,44,66,18.3,24.15,0.0,0.9968,-0.0805,35.8,35.0,35.0,station
2024-04-06,36.8,36.3,32.7,36.2,33.7,36.6,35.5,33.2,36.1,33.2,35.14,1.82,0.22,45,52,23.7,23.86,0.0,0.9952,-0.0977,36.0,36.0,36.0,station
2024-04-07,35.4,34.2,31.6,33.3,32.1,36.1,34.5,31.6,33.7,32.5,33.32,1.54,-0.36,53,59,27.5,23.05,0.0,0.9934,-0.1148,34.3,34.0,34.0,station
2024-04-08,34.0,32.6,30.6,31.5,30.6,34.1,32.1,30.9,31.8,30.3,31.86,1.45,0.02,50,81,30.7,18.59,0.0,0.9913,-0.1319,32.4,32.0,32.0,station
2024-04-09,35.6,33.2,32.7,33.9,33.4,35.2,33.3,33.3,33.6,32.7,33.76,1.11,0.14,36,92,28.3,25.47,0.0,0.9889,-0.1489,34.9,35.0,35.0,station
2024-04-10,35.8,33.7,32.3,33.8,33.0,35.8,33.0,32.6,34.1,33.1,33.72,1.31,0.0,30,49,32.4,26.19,0.0,0.9861,-0.1659,34.9,34.0,34.0,station
