datum,p1_ifs,p1_aifs,p1_gfs,p1_icon,p1_gem,p2_ifs,p2_aifs,p2_gfs,p2_icon,p2_gem,mm_gem,mm_spreiding,run2run,rh_gem,bewolking_gem,wind_max,instraling_som,neerslag_som,doy_sin,doy_cos,era5_max,station_max,doel,doelbron
2023-11-01,,,21.4,,,,,21.5,,,,,,78,5,21.0,13.97,0.0,-0.8606,0.5093,21.6,22.0,22.0,station
2023-11-02,,,23.3,,,,,24.1,,,,,,73,10,13.0,14.3,0.0,-0.8517,0.524,22.8,23.0,23.0,station
2023-11-03,,,24.1,,,,,23.8,,,,,,79,6,21.0,13.88,0.0,-0.8426,0.5386,23.2,23.0,23.0,station
2023-11-04,,,24.8,,,,,24.8,,,,,,77,48,16.6,13.62,0.0,-0.8332,0.553,25.1,26.0,26.0,station
2023-11-05,,,24.7,,,,,25.0,,,,,,79,71,22.7,10.26,0.3,-0.8235,0.5672,23.6,23.0,23.0,station
2023-11-06,,,24.4,,,,,24.6,,,,,,83,95,40.2,11.42,0.8,-0.8137,0.5813,24.4,25.0,25.0,station
2023-11-07,,,26.4,,,,,25.8,,,,,,74,65,67.9,7.77,3.1,-0.8035,0.5952,26.0,27.0,27.0,station
2023-11-08,,,20.0,,,,,20.1,,,,,,59,3,35.3,13.64,0.0,-0.7932,0.609,20.8,20.0,20.0,station
2023-11-09,,,20.4,,,,,19.8,,,,,,73,43,15.6,11.93,0.0,-0.7826,0.6225,20.8,20.0,20.0,station
2023-11-10,,,20.0,,,,,20.6,,,,,,86,80,23.4,3.16,13.7,-0.7718,0.6359,18.9,19.0,19.0,station
2023-11-11,,,18.1,,,,,17.6,,,,,,57,92,47.6,5.31,0.0,-0.7607,0.6491,16.2,18.0,18.0,station
2023-11-12,,,12.3,,,,,12.4,,,,,,72,97,20.6,4.74,1.3,-0.7494,0.6621,11.4,13.0,13.0,station
2023-11-13,,,15.8,,,,,14.7,,,,,,60,58,35.1,8.9,1.4,-0.7379,0.6749,14.2,16.0,16.0,station
2023-11-14,,,16.6,,,,,16.8,,,,,,54,18,22.1,13.07,0.0,-0.7262,0.6875,16.9,17.0,17.0,station
2023-11-15,,,14.5,,,,,15.1,,,,,,74,69,23.4,4.68,0.4,-0.7143,0.6998,14.0,14.0,14.0,station
