datum,p1_ifs,p1_aifs,p1_gfs,p1_icon,p1_gem,p2_ifs,p2_aifs,p2_gfs,p2_icon,p2_gem,mm_gem,mm_spreiding,run2run,rh_gem,bewolking_gem,wind_max,instraling_som,neerslag_som,doy_sin,doy_cos,era5_max,station_max,doel,doelbron
2023-11-01,,,18.7,,,,,18.8,,,,,,88,33,35.8,11.22,18.0,-0.8606,0.5093,20.5,21.0,21.0,station
2023-11-02,,,18.6,,,,,18.5,,,,,,85,2,33.6,12.72,0.0,-0.8517,0.524,21.0,23.0,23.0,station
2023-11-03,,,18.3,,,,,18.2,,,,,,87,84,35.8,6.79,3.0,-0.8426,0.5386,19.6,21.0,21.0,station
2023-11-04,,,18.8,,,,,18.1,,,,,,82,83,22.6,9.68,0.0,-0.8332,0.553,20.3,21.0,21.0,station
2023-11-05,,,18.3,,,,,17.8,,,,,,86,85,43.2,3.54,38.5,-0.8235,0.5672,20.2,20.0,20.0,station
2023-11-06,,,18.9,,,,,18.9,,,,,,75,74,60.0,8.87,15.0,-0.8137,0.5813,19.9,20.0,20.0,station
2023-11-07,,,9.7,,,,,9.7,,,,,,65,33,53.5,12.18,0.0,-0.8035,0.5952,7.8,9.0,9.0,station
2023-11-08,,,12.7,,,,,14.7,,,,,,62,34,18.6,11.54,0.0,-0.7932,0.609,12.9,14.0,14.0,station
2023-11-09,,,15.8,,,,,15.4,,,,,,76,65,37.7,7.93,3.6,-0.7826,0.6225,17.2,18.0,18.0,station
2023-11-10,,,8.2,,,,,8.5,,,,,,50,19,40.0,12.47,0.0,-0.7718,0.6359,7.4,8.0,8.0,station
2023-11-11,,,6.6,,,,,6.3,,,,,,52,52,30.3,8.91,0.0,-0.7607,0.6491,4.8,5.0,5.0,station
2023-11-12,,,6.4,,,,,6.9,,,,,,58,27,30.1,9.51,0.0,-0.7494,0.6621,4.7,5.0,5.0,station
2023-11-13,,,8.1,,,,,8.4,,,,,,60,11,29.2,12.04,0.0,-0.7379,0.6749,5.8,6.0,6.0,station
2023-11-14,,,10.5,,,,,10.9,,,,,,76,68,22.5,10.39,0.0,-0.7262,0.6875,8.4,10.0,10.0,station
2023-11-15,,,11.1,,,,,11.4,,,,,,77,64,15.8,8.99,0.0,-0.7143,0.6998,10.4,11.0,11.0,station
2023-11-16,,,11.8,,,,,11.8,,,,,,77,83,29.8,1.99,14.6,-0.7021,0.712,10.0,10.0,10.0,station
2023-11-17,,,7.3,,,,,8.4,,,,,,59,53,39.0,7.75,1.1,-0.6898,0.724,6.1,7.0,7.0,station
