datum,p1_ifs,p1_aifs,p1_gfs,p1_icon,p1_gem,p2_ifs,p2_aifs,p2_gfs,p2_icon,p2_gem,mm_gem,mm_spreiding,run2run,rh_gem,bewolking_gem,wind_max,instraling_som,neerslag_som,doy_sin,doy_cos,era5_max,station_max,doel,doelbron
2023-11-01,,,24.7,,,,,25.0,,,,,,59,97,23.9,23.49,0.0,-0.8606,0.5093,28.4,28.0,28.0,station
2023-11-02,,,26.6,,,,,27.3,,,,,,54,100,19.9,20.2,0.0,-0.8517,0.524,30.5,29.0,29.0,station
2023-11-03,,,23.1,,,,,22.4,,,,,,70,72,36.2,22.49,1.4,-0.8426,0.5386,24.8,23.0,23.0,station
2023-11-04,,,18.9,,,,,19.6,,,,,,80,83,23.4,23.37,1.5,-0.8332,0.553,21.0,22.0,22.0,station
2023-11-05,,,21.3,,,,,20.4,,,,,,75,40,23.1,27.87,0.0,-0.8235,0.5672,24.7,25.0,25.0,station
2023-11-06,,,22.2,,,,,21.7,,,,,,74,81,23.2,19.81,0.0,-0.8137,0.5813,22.9,22.0,22.0,station
2023-11-07,,,18.0,,,,,18.2,,,,,,69,58,24.9,23.83,2.4,-0.8035,0.5952,19.2,20.0,20.0,station
2023-11-08,,,18.3,,,,,18.0,,,,,,60,0,34.2,30.12,0.0,-0.7932,0.609,19.8,20.0,20.0,station
2023-11-09,,,19.6,,,,,19.7,,,,,,66,0,29.8,30.21,0.0,-0.7826,0.6225,23.2,22.0,22.0,station
2023-11-10,,,21.2,,,,,23.6,,,,,,76,34,32.4,30.27,0.0,-0.7718,0.6359,23.0,24.0,24.0,station
2023-11-11,,,22.1,,,,,20.2,,,,,,69,63,21.9,26.12,0.2,-0.7607,0.6491,23.4,23.0,23.0,station
2023-11-12,,,19.1,,,,,19.2,,,,,,65,19,34.6,26.19,0.4,-0.7494,0.6621,20.4,21.0,21.0,station
2023-11-13,,,26.4,,,,,26.2,,,,,,53,23,25.5,31.14,0.0,-0.7379,0.6749,29.0,29.0,29.0,station
2023-11-14,,,26.4,,,,,26.4,,,,,,60,25,21.3,31.53,0.0,-0.7262,0.6875,31.2,31.0,31.0,station
2023-11-15,,,31.1,,,,,29.5,,,,,,61,58,23.6,28.19,0.0,-0.7143,0.6998,34.1,33.0,33.0,station
2023-11-16,,,25.4,,,,,22.5,,,,,,75,84,20.6,26.34,0.0,-0.7021,0.712,27.5,25.0,25.0,station
2023-11-17,,,23.8,,,,,23.4,,,,,,72,66,22.5,23.14,0.0,-0.6898,0.724,25.8,23.0,23.0,station
2023-11-18,,,23.9,,,,,23.4,,,,,,67,85,23.5,27.37,0.0,-0.6772,0.7358,26.7,24.0,24.0,station
2023-11-19,,,23.3,,,,,23.5,,,,,,70,92,25.4,24.27,0.0,-0.6645,0.7473,25.4,23.0,23.0,station
2023-11-20,,,24.2,,,,,23.8,,,,,,72,100,50.3,13.94,5.8,-0.6515,0.7586,25.2,23.0,23.0,station
2023-11-21,,,20.8,,,,,20.8,,,,,,67,43,41.3,27.59,1.9,-0.6384,0.7697,22.4,22.0,22.0,station
2023-11-22,,,22.8,,,,,22.9,,,,,,69,34,39.3,25.15,0.0,-0.625,0.7806,24.4,22.0,22.0,station
2023-11-23,,,24.7,,,,,25.3,,,,,,67,41,18.5,28.8,0.1,-0.6115,0.7912,25.8,25.0,25.0,station
2023-11-24,,,19.9,,,,,20.0,,,,,,67,49,32.4,29.39,0.0,-0.5978,0.8016,22.1,23.0,23.0,station
2023-11-25,,,19.7,,,,,19.7,,,,,,65,74,34.2,28.86,0.0,-0.584,0.8118,22.4,22.0,22.0,station
2023-11-26,,,22.1,,,,,22.0,,,,,,73,12,25.3,32.0,0.0,-0.5699,0.8217,28.3,26.0,26.0,station
2023-11-27,,,22.5,,,,,22.5,,,,,,76,4,29.6,32.57,0.0,-0.5557,0.8314,25.1,25.0,25.0,station
2023-11-28,,,21.0,,,,,20.5,,,,,,69,50,25.8,24.06,0.7,-0.5413,0.8408,24.5,24.0,24.0,station
2023-11-29,,,23.5,,,,,23.3,,,,,,58,37,42.1,32.05,0.1,-0.5268,0.85,24.5,24.0,24.0,station
2023-11-30,,,30.1,,,,,29.5,,,,,,48,41,23.6,33.19,0.0,-0.5121,0.859,34.4,34.0,34.0,station
2023-12-01,,,24.3,,,,,24.9,,,,,,58,39,22.9,28.8,0.4,-0.4972,0.8676,25.1,24.0,24.0,station
2023-12-02,,,20.8,,,,,20.6,,,,,,68,24,26.7,26.32,0.1,-0.4822,0.8761,22.4,23.0,23.0,station
2023-12-03,,,22.2,,,,,22.1,,,,,,57,45,18.0,26.68,0.0,-0.4671,0.8842,23.7,24.0,24.0,station
2023-12-04,,,20.9,,,,,20.8,,,,,,59,31,28.5,29.05,0.3,-0.4518,0.8921,23.1,23.0,23.0,station
2023-12-05,,,22.4,,,,,22.2,,,,,,58,37,44.4,32.12,0.0,-0.4364,0.8998,23.9,23.0,23.0,station
2023-12-06,,,27.0,,,,,27.1,,,,,,53,2,32.2,33.47,0.0,-0.4208,0.9071,32.6,30.0,30.0,station
2023-12-07,,,28.6,,,,,28.1,,,,,,62,12,31.4,33.04,0.0,-0.4052,0.9142,31.0,24.0,24.0,station
2023-12-08,,,22.6,,,,,22.2,,,,,,76,87,38.5,19.74,8.8,-0.3894,0.9211,23.2,24.0,24.0,station
2023-12-09,,,21.2,,,,,22.0,,,,,,62,25,41.6,29.95,0.4,-0.3735,0.9276,22.7,23.0,23.0,station
2023-12-10,,,24.1,,,,,24.8,,,,,,61,1,41.4,33.28,0.0,-0.3575,0.9339,26.3,26.0,26.0,station
2023-12-11,,,21.4,,,,,21.8,,,,,,70,11,35.4,33.34,0.1,-0.3413,0.9399,23.0,24.0,24.0,station
2023-12-12,,,19.5,,,,,19.3,,,,,,56,49,37.3,29.51,1.9,-0.3251,0.9457,20.7,21.0,21.0,station
2023-12-13,,,21.1,,,,,21.5,,,,,,61,35,38.5,33.17,0.0,-0.3088,0.9511,23.1,23.0,23.0,station
2023-12-14,,,20.5,,,,,20.6,,,,,,52,37,36.7,30.09,0.0,-0.2924,0.9563,21.9,22.0,22.0,station
2023-12-15,,,21.7,,,,,22.1,,,,,,59,0,40.4,33.59,0.0,-0.2759,0.9612,24.1,24.0,24.0,station
2023-12-16,,,23.0,,,,,22.3,,,,,,72,0,33.8,33.7,0.0,-0.2593,0.9658,25.4,25.0,25.0,station
2023-12-17,,,21.0,,,,,21.3,,,,,,64,25,23.1,33.21,0.0,-0.2427,0.9701,24.0,23.0,23.0,station
2023-12-18,,,21.2,,,,,21.3,,,,,,64,5,40.7,33.27,0.0,-0.226,0.9741,22.4,23.0,23.0,station
2023-12-19,,,23.0,,,,,23.0,,,,,,63,3,37.8,34.09,0.0,-0.2092,0.9779,24.9,24.0,24.0,station
2023-12-20,,,21.4,,,,,21.5,,,,,,70,0,32.4,33.69,0.0,-0.1923,0.9813,22.8,23.0,23.0,station
2023-12-21,,,24.2,,,,,23.0,,,,,,59,0,41.8,33.77,0.0,-0.1754,0.9845,27.1,26.0,26.0,station
2023-12-22,,,27.5,,,,,26.9,,,,,,65,17,26.3,32.72,0.1,-0.1585,0.9874,31.1,27.0,27.0,station
2023-12-23,,,22.6,,,,,22.7,,,,,,78,44,39.8,25.75,0.9,-0.1414,0.9899,24.2,25.0,25.0,station
2023-12-24,,,24.6,,,,,25.0,,,,,,67,4,43.5,33.27,0.0,-0.1244,0.9922,29.0,29.0,29.0,station
2023-12-25,,,23.0,,,,,22.4,,,,,,62,30,48.9,31.7,0.0,-0.1073,0.9942,25.3,24.0,24.0,station
2023-12-26,,,28.0,,,,,28.1,,,,,,53,56,32.8,31.04,0.0,-0.0902,0.9959,30.3,28.0,28.0,station
2023-12-27,,,28.8,,,,,27.6,,,,,,44,43,23.1,33.12,0.0,-0.073,0.9973,33.5,31.0,31.0,station
2023-12-28,,,30.3,,,,,29.3,,,,,,57,53,28.6,27.39,0.0,-0.0559,0.9984,33.0,32.0,32.0,station
2023-12-29,,,25.4,,,,,27.3,,,,,,67,14,37.8,30.86,0.0,-0.0387,0.9993,31.0,28.0,28.0,station
2023-12-30,,,,,,,,,,,,,,70,32,43.9,29.65,0.0,-0.0215,0.9998,29.0,29.0,29.0,station
2023-12-31,,,,,,,,,,,,,,63,40,32.9,29.56,1.0,-0.0043,1.0,29.6,,,
2024-01-01,,,,,,,,,,,,,,50,1,25.7,32.81,0.0,0.0172,0.9999,35.9,33.0,33.0,station
2024-01-02,,,,,,,,,,,,,,60,48,21.2,30.12,0.0,0.0344,0.9994,34.5,34.0,34.0,station
2024-01-03,,,,,,,,,,,,,,63,3,34.1,32.75,0.0,0.0516,0.9987,31.2,31.0,31.0,station
