datum,p1_ifs,p1_aifs,p1_gfs,p1_icon,p1_gem,p2_ifs,p2_aifs,p2_gfs,p2_icon,p2_gem,mm_gem,mm_spreiding,run2run,rh_gem,bewolking_gem,wind_max,instraling_som,neerslag_som,doy_sin,doy_cos,era5_max,station_max,doel,doelbron
2023-11-01,,,26.3,,,,,27.0,,,,,,75,42,22.0,15.88,0.0,-0.8606,0.5093,27.5,29.0,29.0,station
2023-11-02,,,30.3,,,,,29.8,,,,,,78,32,15.7,17.42,0.0,-0.8517,0.524,29.6,32.0,32.0,station
2023-11-03,,,31.2,,,,,31.7,,,,,,78,9,9.8,17.01,0.2,-0.8426,0.5386,29.9,32.0,32.0,station
2023-11-04,,,31.7,,,,,31.5,,,,,,76,6,9.7,17.61,0.0,-0.8332,0.553,30.7,32.0,32.0,station
2023-11-05,,,32.6,,,,,32.5,,,,,,77,13,7.6,17.44,0.0,-0.8235,0.5672,31.1,33.0,33.0,station
2023-11-06,,,31.6,,,,,31.9,,,,,,76,48,16.1,16.61,1.3,-0.8137,0.5813,31.6,33.0,33.0,station
2023-11-07,,,24.1,,,,,23.7,,,,,,63,61,22.3,14.81,0.1,-0.8035,0.5952,24.4,26.0,26.0,station
2023-11-08,,,28.4,,,,,27.4,,,,,,66,39,21.5,16.96,0.0,-0.7932,0.609,28.5,31.0,31.0,station
2023-11-09,,,30.8,,,,,31.1,,,,,,71,45,18.3,16.61,0.0,-0.7826,0.6225,31.1,31.0,31.0,station
2023-11-10,,,30.8,,,,,28.7,,,,,,80,70,15.5,14.18,2.5,-0.7718,0.6359,30.2,31.0,31.0,station
2023-11-11,,,23.5,,,,,23.7,,,,,,84,98,17.7,6.49,1.1,-0.7607,0.6491,23.8,25.0,25.0,station
2023-11-12,,,21.4,,,,,21.5,,,,,,83,98,21.7,5.98,1.9,-0.7494,0.6621,22.8,23.0,23.0,station
2023-11-13,,,18.9,,,,,19.6,,,,,,74,99,22.0,5.09,1.3,-0.7379,0.6749,18.7,18.0,18.0,station
2023-11-14,,,19.2,,,,,19.6,,,,,,80,100,17.1,4.3,1.1,-0.7262,0.6875,20.3,20.0,20.0,station
2023-11-15,,,20.8,,,,,20.9,,,,,,78,75,24.7,7.91,0.0,-0.7143,0.6998,23.1,24.0,24.0,station
2023-11-16,,,24.4,,,,,22.6,,,,,,86,79,20.6,6.56,4.9,-0.7021,0.712,23.5,27.0,27.0,station
2023-11-17,,,19.3,,,,,19.2,,,,,,66,89,12.5,15.7,0.1,-0.6898,0.724,19.4,21.0,21.0,station
2023-11-18,,,18.9,,,,,18.9,,,,,,70,71,17.6,15.91,0.0,-0.6772,0.7358,19.9,21.0,21.0,station
2023-11-19,,,22.5,,,,,22.4,,,,,,72,29,16.2,14.86,0.0,-0.6645,0.7473,23.2,24.0,24.0,station
2023-11-20,,,24.1,,,,,23.9,,,,,,66,15,22.4,14.72,0.0,-0.6515,0.7586,24.2,25.0,25.0,station
2023-11-21,,,24.8,,,,,24.5,,,,,,71,17,21.0,14.08,0.0,-0.6384,0.7697,25.2,27.0,27.0,station
2023-11-22,,,27.0,,,,,27.3,,,,,,72,12,16.0,16.36,0.0,-0.625,0.7806,27.0,29.0,29.0,station
2023-11-23,,,27.5,,,,,27.2,,,,,,76,27,16.3,15.96,0.0,-0.6115,0.7912,27.0,29.0,29.0,station
2023-11-24,,,21.0,,,,,21.0,,,,,,69,65,28.3,6.22,0.0,-0.5978,0.8016,21.3,22.0,22.0,station
2023-11-25,,,22.5,,,,,21.9,,,,,,76,69,26.5,8.85,0.7,-0.584,0.8118,21.6,22.0,22.0,station
2023-11-26,,,20.8,,,,,21.4,,,,,,80,86,20.3,6.52,0.2,-0.5699,0.8217,21.6,21.0,21.0,station
2023-11-27,,,24.3,,,,,23.8,,,,,,79,39,13.3,12.66,0.0,-0.5557,0.8314,24.4,25.0,25.0,station
2023-11-28,,,23.8,,,,,23.4,,,,,,65,3,27.5,16.48,0.0,-0.5413,0.8408,24.1,26.0,26.0,station
2023-11-29,,,27.8,,,,,27.5,,,,,,59,78,20.5,10.89,0.0,-0.5268,0.85,28.5,27.0,27.0,station
2023-11-30,,,22.1,,,,,22.6,,,,,,80,98,25.5,5.05,2.5,-0.5121,0.859,22.4,22.0,22.0,station
2023-12-01,,,18.6,,,,,18.4,,,,,,84,100,21.3,3.55,10.0,-0.4972,0.8676,17.9,18.0,18.0,station
2023-12-02,,,17.9,,,,,18.0,,,,,,80,99,23.1,5.34,2.5,-0.4822,0.8761,19.7,21.0,21.0,station
2023-12-03,,,19.0,,,,,18.7,,,,,,88,99,18.2,4.86,5.7,-0.4671,0.8842,19.8,22.0,22.0,station
2023-12-04,,,20.0,,,,,19.7,,,,,,93,100,11.5,4.38,28.2,-0.4518,0.8921,21.3,20.0,20.0,station
2023-12-05,,,18.9,,,,,20.5,,,,,,87,100,10.0,3.5,1.1,-0.4364,0.8998,19.9,20.0,20.0,station
2023-12-06,,,18.3,,,,,18.8,,,,,,91,98,9.2,2.74,4.7,-0.4208,0.9071,19.4,20.0,20.0,station
2023-12-07,,,21.6,,,,,21.8,,,,,,76,36,20.6,15.06,0.0,-0.4052,0.9142,21.6,24.0,24.0,station
2023-12-08,,,25.6,,,,,24.8,,,,,,75,12,11.6,14.92,0.0,-0.3894,0.9211,25.8,28.0,28.0,station
2023-12-09,,,27.3,,,,,27.8,,,,,,84,20,7.4,13.72,0.0,-0.3735,0.9276,26.4,29.0,29.0,station
2023-12-10,,,28.5,,,,,27.2,,,,,,83,33,8.0,12.65,0.0,-0.3575,0.9339,28.8,31.0,31.0,station
2023-12-11,,,29.9,,,,,29.5,,,,,,84,13,8.5,13.88,0.0,-0.3413,0.9399,29.1,31.0,31.0,station
2023-12-12,,,22.9,,,,,24.3,,,,,,87,97,16.2,4.19,2.8,-0.3251,0.9457,22.0,25.0,25.0,station
2023-12-13,,,22.8,,,,,22.1,,,,,,84,62,24.1,8.8,0.0,-0.3088,0.9511,23.1,24.0,24.0,station
2023-12-14,,,28.1,,,,,28.7,,,,,,86,11,7.4,13.99,0.0,-0.2924,0.9563,27.8,30.0,30.0,station
2023-12-15,,,28.8,,,,,28.8,,,,,,85,46,8.9,13.83,0.0,-0.2759,0.9612,27.0,31.0,31.0,station
2023-12-16,,,21.8,,,,,21.9,,,,,,82,97,20.5,3.67,3.1,-0.2593,0.9658,20.5,23.0,23.0,station
2023-12-17,,,15.1,,,,,15.1,,,,,,78,99,25.0,4.66,1.3,-0.2427,0.9701,15.0,15.0,15.0,station
2023-12-18,,,23.3,,,,,22.5,,,,,,83,54,24.6,11.08,0.4,-0.226,0.9741,22.9,23.0,23.0,station
2023-12-19,,,19.1,,,,,20.2,,,,,,86,89,12.6,4.64,0.9,-0.2092,0.9779,20.0,21.0,21.0,station
2023-12-20,,,16.0,,,,,15.9,,,,,,83,100,14.3,2.88,3.0,-0.1923,0.9813,16.3,17.0,17.0,station
2023-12-21,,,13.4,,,,,13.2,,,,,,80,100,21.9,3.12,2.9,-0.1754,0.9845,13.4,14.0,14.0,station
2023-12-22,,,11.6,,,,,11.9,,,,,,70,99,22.6,6.2,0.3,-0.1585,0.9874,11.7,12.0,12.0,station
2023-12-23,,,15.4,,,,,14.8,,,,,,77,98,21.3,4.72,1.0,-0.1414,0.9899,16.9,17.0,17.0,station
2023-12-24,,,15.3,,,,,15.7,,,,,,80,100,18.2,4.02,1.7,-0.1244,0.9922,15.7,15.0,15.0,station
2023-12-25,,,14.7,,,,,14.7,,,,,,63,79,21.9,9.0,0.0,-0.1073,0.9942,14.9,17.0,17.0,station
2023-12-26,,,20.8,,,,,21.3,,,,,,66,22,22.3,15.13,0.0,-0.0902,0.9959,21.3,24.0,24.0,station
2023-12-27,,,25.1,,,,,24.2,,,,,,76,64,13.1,12.02,0.2,-0.073,0.9973,25.3,26.0,26.0,station
2023-12-28,,,23.9,,,,,25.0,,,,,,94,99,7.4,2.19,8.2,-0.0559,0.9984,20.2,21.0,21.0,station
2023-12-29,,,19.4,,,,,22.4,,,,,,87,86,16.6,6.5,0.0,-0.0387,0.9993,20.7,21.0,21.0,station
2023-12-30,,,,,,,,,,,,,,88,82,7.6,10.67,0.0,-0.0215,0.9998,23.9,25.0,25.0,station
2023-12-31,,,,,,,,,,,,,,80,89,22.1,9.72,0.0,-0.0043,1.0,22.3,,,
2024-01-01,,,,,,,,,,,,,,66,57,21.3,8.9,0.0,0.0172,0.9999,18.2,19.0,19.0,station
2024-01-02,,,,,,,,,,,,,,74,2,20.1,14.84,0.0,0.0344,0.9994,23.1,24.0,24.0,station
2024-01-03,,,,,,,,,,,,,,81,72,14.8,3.09,1.3,0.0516,0.9987,16.7,17.0,17.0,station
2024-01-04,,,,,,,,,,,,,,65,23,20.5,14.37,0.0,0.0688,0.9976,19.5,18.0,18.0,station
2024-01-05,,,,,,,,,,,,,,79,14,8.8,14.71,0.0,0.0859,0.9963,21.8,23.0,23.0,station
2024-01-06,,,,,,,,,,,,,,83,60,12.3,13.06,0.0,0.103,0.9947,22.4,24.0,24.0,station
2024-01-07,,,,,,,,,,,,,,70,53,18.7,11.16,0.0,0.1201,0.9928,18.4,19.0,19.0,station
