datum,p1_ifs,p1_aifs,p1_gfs,p1_icon,p1_gem,p2_ifs,p2_aifs,p2_gfs,p2_icon,p2_gem,mm_gem,mm_spreiding,run2run,rh_gem,bewolking_gem,wind_max,instraling_som,neerslag_som,doy_sin,doy_cos,era5_max,station_max,doel,doelbron
2023-11-01,,,30.7,,,,,30.4,,,,,,60,27,14.5,14.22,0.5,-0.8606,0.5093,30.5,30.0,30.0,station
2023-11-02,,,29.1,,,,,28.8,,,,,,75,20,13.4,14.76,0.6,-0.8517,0.524,29.3,29.0,29.0,station
2023-11-03,,,28.6,,,,,28.7,,,,,,75,30,14.3,15.07,0.0,-0.8426,0.5386,28.3,28.0,28.0,station
2023-11-04,,,30.1,,,,,30.8,,,,,,59,0,15.6,15.75,0.0,-0.8332,0.553,31.9,31.0,31.0,station
2023-11-05,,,29.9,,,,,29.6,,,,,,63,4,15.3,14.45,0.0,-0.8235,0.5672,30.1,30.0,30.0,station
2023-11-06,,,29.2,,,,,29.3,,,,,,77,14,14.0,15.16,0.0,-0.8137,0.5813,27.9,28.0,28.0,station
2023-11-07,,,28.8,,,,,28.6,,,,,,68,2,14.6,14.75,0.0,-0.8035,0.5952,28.2,28.0,28.0,station
2023-11-08,,,28.1,,,,,28.0,,,,,,70,0,13.0,14.89,0.0,-0.7932,0.609,28.2,28.0,28.0,station
2023-11-09,,,27.3,,,,,27.0,,,,,,79,31,14.8,14.36,0.0,-0.7826,0.6225,27.6,28.0,28.0,station
2023-11-10,,,27.1,,,,,27.2,,,,,,75,59,14.3,13.83,0.0,-0.7718,0.6359,27.5,27.0,27.0,station
2023-11-11,,,28.3,,,,,28.7,,,,,,71,99,12.6,11.3,0.0,-0.7607,0.6491,29.0,29.0,29.0,station
2023-11-12,,,30.6,,,,,29.4,,,,,,56,92,15.9,11.43,0.2,-0.7494,0.6621,32.3,30.0,30.0,station
2023-11-13,,,30.8,,,,,29.7,,,,,,63,30,12.5,12.85,0.1,-0.7379,0.6749,29.8,32.0,32.0,station
2023-11-14,,,22.8,,,,,24.9,,,,,,86,65,23.1,9.83,8.7,-0.7262,0.6875,22.8,26.0,26.0,station
2023-11-15,,,24.7,,,,,24.3,,,,,,79,16,11.6,13.21,0.7,-0.7143,0.6998,24.6,25.0,25.0,station
2023-11-16,,,25.0,,,,,24.7,,,,,,79,5,15.5,13.72,0.0,-0.7021,0.712,25.1,27.0,27.0,station
2023-11-17,,,25.7,,,,,25.4,,,,,,82,28,14.6,11.03,0.6,-0.6898,0.724,25.1,27.0,27.0,station
2023-11-18,,,25.5,,,,,26.0,,,,,,83,13,13.8,12.39,0.7,-0.6772,0.7358,24.7,27.0,27.0,station
2023-11-19,,,23.5,,,,,23.4,,,,,,76,70,29.5,4.52,43.5,-0.6645,0.7473,21.2,22.0,22.0,station
2023-11-20,,,20.7,,,,,20.7,,,,,,64,47,29.6,11.11,17.4,-0.6515,0.7586,21.9,22.0,22.0,station
2023-11-21,,,22.7,,,,,22.3,,,,,,69,20,18.2,12.6,0.7,-0.6384,0.7697,23.2,23.0,23.0,station
2023-11-22,,,23.8,,,,,24.3,,,,,,59,82,21.5,11.52,0.0,-0.625,0.7806,23.7,25.0,25.0,station
2023-11-23,,,25.3,,,,,24.7,,,,,,67,16,16.9,13.14,0.0,-0.6115,0.7912,24.5,25.0,25.0,station
2023-11-24,,,24.8,,,,,24.5,,,,,,81,8,8.0,13.25,0.0,-0.5978,0.8016,23.1,25.0,25.0,station
2023-11-25,,,25.5,,,,,25.9,,,,,,58,91,15.0,10.29,0.0,-0.584,0.8118,25.3,26.0,26.0,station
2023-11-26,,,23.6,,,,,24.1,,,,,,45,12,25.6,13.29,0.0,-0.5699,0.8217,22.8,23.0,23.0,station
2023-11-27,,,20.7,,,,,20.8,,,,,,66,65,28.5,7.33,5.5,-0.5557,0.8314,21.1,22.0,22.0,station
2023-11-28,,,18.5,,,,,19.1,,,,,,69,61,12.1,8.85,0.2,-0.5413,0.8408,19.2,20.0,20.0,station
