datum,p1_ifs,p1_aifs,p1_gfs,p1_icon,p1_gem,p2_ifs,p2_aifs,p2_gfs,p2_icon,p2_gem,mm_gem,mm_spreiding,run2run,rh_gem,bewolking_gem,wind_max,instraling_som,neerslag_som,doy_sin,doy_cos,era5_max,station_max,doel,doelbron
2023-11-01,,,29.6,,,,,28.7,,,,,,72,4,12.6,14.87,0.0,-0.8606,0.5093,27.7,29.0,29.0,station
2023-11-02,,,30.0,,,,,29.9,,,,,,70,1,14.8,14.65,0.0,-0.8517,0.524,28.2,29.0,29.0,station
2023-11-03,,,29.4,,,,,28.8,,,,,,68,46,21.7,13.27,0.1,-0.8426,0.5386,27.7,28.0,28.0,station
2023-11-04,,,21.6,,,,,19.3,,,,,,72,70,19.0,10.83,2.2,-0.8332,0.553,22.4,20.0,20.0,station
2023-11-05,,,19.7,,,,,18.3,,,,,,86,92,21.3,3.78,20.4,-0.8235,0.5672,18.7,18.0,18.0,station
2023-11-06,,,17.9,,,,,18.8,,,,,,67,13,14.8,14.72,0.0,-0.8137,0.5813,18.2,20.0,20.0,station
2023-11-07,,,22.6,,,,,22.7,,,,,,69,16,14.0,14.22,0.4,-0.8035,0.5952,21.2,23.0,23.0,station
2023-11-08,,,22.9,,,,,21.7,,,,,,78,38,12.3,13.34,2.4,-0.7932,0.609,21.7,22.0,22.0,station
2023-11-09,,,18.5,,,,,17.1,,,,,,85,100,18.4,5.06,14.8,-0.7826,0.6225,20.6,19.0,19.0,station
2023-11-10,,,15.8,,,,,14.9,,,,,,78,99,22.9,6.08,5.3,-0.7718,0.6359,15.2,14.0,14.0,station
2023-11-11,,,11.2,,,,,9.3,,,,,,78,98,19.9,2.58,4.2,-0.7607,0.6491,11.5,11.0,11.0,station
2023-11-12,,,12.5,,,,,12.1,,,,,,69,60,19.1,13.22,0.0,-0.7494,0.6621,11.6,12.0,12.0,station
2023-11-13,,,11.5,,,,,11.2,,,,,,57,51,16.8,9.07,0.0,-0.7379,0.6749,10.9,10.0,10.0,station
2023-11-14,,,14.0,,,,,14.3,,,,,,76,0,9.4,13.43,0.0,-0.7262,0.6875,13.4,14.0,14.0,station
2023-11-15,,,12.4,,,,,14.3,,,,,,80,70,13.5,6.06,2.5,-0.7143,0.6998,14.2,13.0,13.0,station
2023-11-16,,,14.3,,,,,14.7,,,,,,65,29,23.6,13.67,0.5,-0.7021,0.712,14.8,16.0,16.0,station
2023-11-17,,,16.8,,,,,17.1,,,,,,70,47,13.3,13.3,0.0,-0.6898,0.724,16.9,18.0,18.0,station
2023-11-18,,,17.5,,,,,17.4,,,,,,76,54,9.5,13.24,0.0,-0.6772,0.7358,17.8,19.0,19.0,station
2023-11-19,,,20.6,,,,,20.4,,,,,,78,4,11.0,13.19,0.0,-0.6645,0.7473,20.5,22.0,22.0,station
2023-11-20,,,21.4,,,,,21.1,,,,,,81,0,9.8,12.99,0.0,-0.6515,0.7586,20.4,22.0,22.0,station
2023-11-21,,,22.2,,,,,22.0,,,,,,75,1,10.5,13.08,0.0,-0.6384,0.7697,21.4,23.0,23.0,station
2023-11-22,,,20.1,,,,,21.8,,,,,,83,60,9.7,8.62,0.0,-0.625,0.7806,20.9,21.0,21.0,station
2023-11-23,,,16.8,,,,,17.2,,,,,,55,1,24.5,13.01,0.0,-0.6115,0.7912,17.4,20.0,20.0,station
2023-11-24,,,14.4,,,,,14.1,,,,,,44,0,15.8,12.61,0.0,-0.5978,0.8016,14.1,16.0,16.0,station
2023-11-25,,,14.6,,,,,14.2,,,,,,55,47,15.3,10.14,0.1,-0.584,0.8118,13.6,14.0,14.0,station
2023-11-26,,,15.5,,,,,14.8,,,,,,81,25,12.5,11.37,0.1,-0.5699,0.8217,12.7,13.0,13.0,station
2023-11-27,,,18.5,,,,,19.1,,,,,,84,0,10.0,12.24,0.0,-0.5557,0.8314,16.5,17.0,17.0,station
2023-11-28,,,19.5,,,,,19.2,,,,,,86,59,10.0,10.97,0.0,-0.5413,0.8408,18.0,19.0,19.0,station
2023-11-29,,,16.7,,,,,15.4,,,,,,63,68,27.9,11.61,0.0,-0.5268,0.85,16.4,18.0,18.0,station
2023-11-30,,,9.1,,,,,9.7,,,,,,38,100,22.3,2.53,0.0,-0.5121,0.859,8.4,8.0,8.0,station
2023-12-01,,,11.5,,,,,11.8,,,,,,52,52,10.7,11.97,0.0,-0.4972,0.8676,10.6,11.0,11.0,station
2023-12-02,,,13.1,,,,,13.4,,,,,,59,67,8.7,10.93,0.0,-0.4822,0.8761,12.5,14.0,14.0,station
2023-12-03,,,14.1,,,,,14.2,,,,,,65,66,9.2,11.13,0.0,-0.4671,0.8842,14.5,15.0,15.0,station
2023-12-04,,,15.1,,,,,15.0,,,,,,69,55,11.7,9.69,0.0,-0.4518,0.8921,15.0,15.0,15.0,station
2023-12-05,,,17.6,,,,,17.6,,,,,,76,55,10.5,11.71,0.0,-0.4364,0.8998,16.9,19.0,19.0,station
2023-12-06,,,17.7,,,,,17.8,,,,,,69,33,14.2,11.92,0.0,-0.4208,0.9071,17.6,19.0,19.0,station
2023-12-07,,,23.1,,,,,22.6,,,,,,64,0,16.0,12.04,0.0,-0.4052,0.9142,20.4,22.0,22.0,station
2023-12-08,,,23.4,,,,,23.7,,,,,,61,86,15.2,10.7,0.0,-0.3894,0.9211,23.0,24.0,24.0,station
2023-12-09,,,20.8,,,,,19.1,,,,,,66,87,15.0,9.66,2.7,-0.3735,0.9276,22.2,21.0,21.0,station
