datum,p1_ifs,p1_aifs,p1_gfs,p1_icon,p1_gem,p2_ifs,p2_aifs,p2_gfs,p2_icon,p2_gem,mm_gem,mm_spreiding,run2run,rh_gem,bewolking_gem,wind_max,instraling_som,neerslag_som,doy_sin,doy_cos,era5_max,station_max,doel,doelbron
2023-11-01,,,4.4,,,,,5.7,,,,,,68,41,17.7,9.41,0.0,-0.8606,0.5093,4.7,4.0,4.0,station
2023-11-02,,,8.7,,,,,8.8,,,,,,59,67,25.2,8.4,0.0,-0.8517,0.524,9.2,11.0,11.0,station
2023-11-03,,,13.1,,,,,12.5,,,,,,57,71,24.7,10.28,0.2,-0.8426,0.5386,13.7,15.0,15.0,station
2023-11-04,,,11.1,,,,,11.1,,,,,,76,91,18.4,6.59,3.1,-0.8332,0.553,12.6,11.0,11.0,station
2023-11-05,,,10.4,,,,,10.6,,,,,,78,64,11.4,7.2,0.0,-0.8235,0.5672,9.9,9.0,9.0,station
2023-11-06,,,12.6,,,,,12.8,,,,,,81,91,28.2,5.78,1.7,-0.8137,0.5813,13.3,13.0,13.0,station
2023-11-07,,,12.7,,,,,12.5,,,,,,72,76,23.3,3.75,0.0,-0.8035,0.5952,13.2,13.0,13.0,station
2023-11-08,,,2.2,,,,,2.9,,,,,,73,82,23.9,4.43,12.8,-0.7932,0.609,3.2,3.0,3.0,station
2023-11-09,,,8.1,,,,,8.8,,,,,,74,60,23.9,6.34,9.9,-0.7826,0.6225,11.0,10.0,10.0,station
2023-11-10,,,8.8,,,,,8.9,,,,,,60,30,25.6,9.55,0.0,-0.7718,0.6359,10.2,10.0,10.0,station
2023-11-11,,,4.6,,,,,4.4,,,,,,74,72,10.8,4.35,0.0,-0.7607,0.6491,5.7,4.0,4.0,station
2023-11-12,,,5.9,,,,,5.8,,,,,,80,62,10.7,7.64,0.0,-0.7494,0.6621,5.1,5.0,5.0,station
2023-11-13,,,11.6,,,,,12.6,,,,,,77,27,23.3,9.77,0.2,-0.7379,0.6749,12.4,14.0,14.0,station
